,parliament,edate,year,province,riding,id,candidate_name,birth_year,gender,censuscategory,party_major_group,votes,percent_votes,elected,age,oldest_mp_age,margin
27908,35,1993-10-25,1993,Manitoba,WINNIPEG--ST. JAMES,1851,"BLUMENSCHEIN, Peter",,M,Management,Reform_Alliance,8246,20.965118,Not elected,,69,-33.985051
27909,35,1993-10-25,1993,Ontario,Kent,18100,"KNIGHT, Victor",,M,Social,Independent,1014,2.7904673,Not elected,,69,-60.991247699999995
27910,35,1993-10-25,1993,Ontario,LEEDS--GRENVILLE,1186,"BEECROFT, Richard",,M,Social,Third_Party,196,0.38781932,Not elected,,69,-52.17950668
27911,35,1993-10-25,1993,Ontario,ETOBICOKE CENTRE,5704,"DONLEY, Charles",,M,Sales,Conservative,9242,19.514359,Not elected,,69,-34.83319
27912,35,1993-10-25,1993,Alberta,VEGREVILLE,21076,"LEHR, Roger",,M,Business,Conservative,8180,22.692596,Not elected,,69,-32.047050999999996
27913,35,1993-10-25,1993,Manitoba,WINNIPEG SOUTH CENTRE,9999,"INNES, Elizabeth",,F,Health,Third_Party,225,0.53409928,Not elected,,69,-60.90155872
27914,35,1993-10-25,1993,Saskatchewan,THE BATTLEFORDS--MEADOW LAKE,3835,"CHRÉTIEN, Leon W.",,M,Science,Independent,609,1.946371,Not elected,,69,-29.285051
27915,35,1993-10-25,1993,Quebec,LAVAL CENTRE,26353,"QURESHI, Afsun",,F,Culture,CCF_NDP,640,1.1227479,Not elected,,69,-54.0708361
27916,35,1993-10-25,1993,British Columbia,MISSION--COQUITLAM,1966,"BONNER, Tim",,M,,Third_Party,479,0.87192369,Not elected,,69,-35.839887309999995
27917,35,1993-10-25,1993,Quebec,VERCHÈRES,20948,"LEDUC, François",,M,Social,Conservative,5269,9.180562,Not elected,,69,-58.132524999999994
27918,35,1993-10-25,1993,Alberta,CALGARY CENTRE,1752,"BLAIR, Bob",,M,Science,Liberal,15157,30.231167,Not elected,,69,-14.845325000000003
27919,35,1993-10-25,1993,Ontario,SIMCOE CENTRE,26420,"RAMSAY, Mike",,M,Social,Independent,655,0.97583503,Not elected,,69,-36.93423697
27920,35,1993-10-25,1993,Saskatchewan,SWIFT CURRENT--MAPLE CREEK--ASSINIBOIA,24183,"MORRISON, Lee",1932,M,Resources,Reform_Alliance,11486,34.880047,Elected,61,69,2.5053139999999985
27921,35,1993-10-25,1993,Ontario,OTTAWA SOUTH,30464,"WALDMAN, Louise",,F,Social,Third_Party,63,0.11384582,Not elected,,69,-65.81733718000001
27922,35,1993-10-25,1993,Manitoba,WINNIPEG--ST. JAMES,5178,"DECTER, Ron",,M,Business,Third_Party,155,0.39408115,Not elected,,69,-54.556087850000004
27923,35,1993-10-25,1993,Northwest Territories,NUNATSIAQ,9977,"ILLNIK, Mike",,M,Business,CCF_NDP,924,9.646101,Not elected,,69,-60.141977
27924,35,1993-10-25,1993,Ontario,CARLETON--GLOUCESTER,3928,"CLARK, Shelley Ann",,F,Management,Independent,839,1.1035843,Not elected,,69,-60.4945757
